link_properti;nama_properti;alamat;kelurahan;kecamatan;kota;provinsi;jenis_kost;fasilitas_gedung;tipe_kamar;room_area;harga_room_bulanan
https://infokost.id/listing/indokosmansion/;Indokosmansion;Jl. Mangga No.95, Ngabean Wetan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;SINDUHARJO;NGAGLIK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-Cleaning service-Dapur-Rooftop-Ruang santai / ruang tamu-Wifi-Apotek-Rumah Sakit JIH-RS Condong Catur-Coffe Shop-Warung Makan;Tipe B;8;1600000
https://infokost.id/listing/kost-pak-marto/;Kost Pak Marto;Mlati Dukuh, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285;SENDANGADI;MLATI;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Ruang santai / ruang tamu-Wifi-Universitas Teknologi Yogyakarta-Jogja City Mall-Sekolah Tinggi Multi Media (MMTC) Yogyakarta-Rumah Sakit Akademik UGM Yogyakarta;Tipe A;9;1300000
https://infokost.id/listing/kost-pak-marto/;Kost Pak Marto;Mlati Dukuh, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285;SENDANGADI;MLATI;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Ruang santai / ruang tamu-Wifi-Universitas Teknologi Yogyakarta-Jogja City Mall-Sekolah Tinggi Multi Media (MMTC) Yogyakarta-Rumah Sakit Akademik UGM Yogyakarta;Tipe B;12;1400000
https://infokost.id/listing/kos-karangwuni/;Kos Karangwuni;Gang Kweni Karangwuni No H8 A Karangwuni Caturtunggal Depok Sleman Yogyakarta;CATUR TUNGGAL;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Laundry-Rooftop-Ruang santai / ruang tamu-Universitas Gadjah Mada-Warung Makan-Coffe Shop-Universitas Negeri Yogyakarta;Tipe A;12;1800000
https://infokost.id/listing/kost-putra-eksklusif-pondok-indah-kaliurang/;Kost Putra Eksklusif Pondok Indah Kaliurang;Gg. Pamungkas , Blok W-1A , Pogung Baru (Masuk dari Dunkin Donut Jl. Kaliurang km 5.5);CATUR TUNGGAL;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Laundry-Ruang santai / ruang tamu-Universitas Gajah Mada-Universitas Negeri Yogyakarta-Monumen Yogya Kembali-Warung Makan;Standard;16;2000000
https://infokost.id/listing/kost-pak-joko-seturan-3-no-15a/;Kost Pak Joko Seturan 3 No.15a;Jl. Seturan III No.15a, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;CATUR TUNGGAL;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Laundry-Ruang santai / ruang tamu-Universitas Pembangunan Nasional Veteran Yogyakarta-Futsal-Warung Makan-Coffe Shop;Standard Non AC;16;1100000
https://infokost.id/listing/kost-genessa-bu-lia/;Kost Genessa Bu Lia;Jl. Pamularsih No.151, Ngabean Wetan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia;SINDUHARJO;NGAGLIK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Ruang santai / ruang tamu-Warung Makan-Coffe Shop-Rumah Sakit JIH-Pasar Kolombo-Stadion Maguwoharjo-Kampus III Universitas Sanata Dharma;Standard A;16;1700000
https://infokost.id/listing/kost-genessa-bu-lia/;Kost Genessa Bu Lia;Jl. Pamularsih No.151, Ngabean Wetan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia;SINDUHARJO;NGAGLIK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Ruang santai / ruang tamu-Warung Makan-Coffe Shop-Rumah Sakit JIH-Pasar Kolombo-Stadion Maguwoharjo-Kampus III Universitas Sanata Dharma;Standard B;16;1500000
https://infokost.id/listing/kost-eksklusif-casaqu/;Kost Eksklusif Casaqu;Jl.Wijaya Kusuma No.84 Rt004/Rw028 Kutu Dukuh, Sinduadi Mlati sleman DIY;SINDUADI;MLATI;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Dapur-Ruang santai / ruang tamu-Puskesmas-Warung Makan-Jogja City Mall-Monumen Yogya Kembali;Superior;20;2200000
https://infokost.id/listing/kost-eksklusif-casaqu/;Kost Eksklusif Casaqu;Jl.Wijaya Kusuma No.84 Rt004/Rw028 Kutu Dukuh, Sinduadi Mlati sleman DIY;SINDUADI;MLATI;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Dapur-Ruang santai / ruang tamu-Puskesmas-Warung Makan-Jogja City Mall-Monumen Yogya Kembali;Tipe A;14;1550000
https://infokost.id/listing/kost-arrayan/;Kost Arrayan;Jl. Pugeran RT05/RW05, no.4B, Yogyakarta;MAGUWOHARJO;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Rooftop-Ruang santai / ruang tamu-Wifi-Universitas Pembangunan Nasional Veteran Yogyakarta-Jogja Bay Pirates Adventure Waterpark-INSTIPER YOGYAKARTA-Pemancingan Moro Kangen-Warung Makan-Coffe Shop;Type A;9;1500000
